"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"85",103,2,"2022/05/09 11:26:17 AM GMT+2","40-59",4,2,4,4,4,3,4,"CDU","34","männlich","Studium","CDU","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",NA,1,"Control","Kampf für Deutschland"
"86",103,2,"2022/05/09 11:26:17 AM GMT+2","20-39",4,1,3,5,3,4,4,"Grüne","34","männlich","Studium","CDU","Ich stimme nicht zu","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu",NA,2,"Dog whistle","Hilfe vor Ort"
"87",104,2,"2022/05/09 11:26:23 AM GMT+2","40-59",2,2,1,2,2,5,2,"CDU","19","männlich","Realschule","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
"88",104,2,"2022/05/09 11:26:23 AM GMT+2","40-59",3,2,2,3,3,4,3,"Freie Wähler","19","männlich","Realschule","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe vor Ort"
"89",105,2,"2022/05/09 11:26:29 AM GMT+2","40-59",3,3,2,2,3,3,3,"CDU","38","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,1,"Control","Kampf für Deutschland"
"90",105,2,"2022/05/09 11:26:29 AM GMT+2","40-59",2,4,1,1,2,2,2,"CDU","38","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"91",106,2,"2022/05/09 11:27:09 AM GMT+2","40-59",3,2,4,4,3,2,3,"CDU","25","weiblich","Abitur","FDP","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,1,"Control","Kampf für Deutschland"
"92",106,2,"2022/05/09 11:27:09 AM GMT+2","40-59",4,2,3,4,3,2,4,"Grüne","25","weiblich","Abitur","FDP","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Ich stimme zu",NA,2,"Dog whistle","Hilfe vor Ort"
"93",107,2,"2022/05/09 11:28:18 AM GMT+2","40-59",1,1,3,3,2,3,3,"SPD","59","weiblich","Realschule","SPD","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Neutral",NA,1,"Control","Kampf für Deutschland"
"94",107,2,"2022/05/09 11:28:18 AM GMT+2","40-59",5,1,3,4,4,3,4,"SPD","59","weiblich","Realschule","SPD","Neutral","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"95",108,2,"2022/05/09 11:33:39 AM GMT+2","40-59",1,1,2,2,2,3,3,"CDU","25","männlich","Realschule","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,1,"Control","Kampf für Deutschland"
"96",108,2,"2022/05/09 11:33:39 AM GMT+2","20-39",4,1,3,4,3,2,4,"SPD","25","männlich","Realschule","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"97",109,2,"2022/05/09 11:34:15 AM GMT+2","40-59",1,3,3,3,2,3,3,"AfD","57","männlich","Studium","SPD","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",NA,1,"Control","Kampf für Deutschland"
"98",109,2,"2022/05/09 11:34:15 AM GMT+2","40-59",3,3,3,3,3,3,3,"keine Angabe","57","männlich","Studium","SPD","Ich stimme nicht zu","Neutral","Neutral","Neutral","Neutral",NA,2,"Dog whistle","Hilfe vor Ort"
"99",110,2,"2022/05/09 11:34:33 AM GMT+2","40-59",3,3,3,3,3,3,2,"AfD","§""","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Control","Kampf für Deutschland"
